"TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","COLUMN_TYPE","DATA_TYPE","IS_NULLABLE","COLUMN_KEY"
"auth","account","id","int unsigned","int","NO","PRI"
"auth","account","username","varchar(32)","varchar","NO","UNI"
"auth","account","salt","binary(32)","binary","NO",""
"auth","account","verifier","binary(32)","binary","NO",""
"auth","account","session_key_auth","binary(40)","binary","YES",""
"auth","account","session_key_bnet","varbinary(64)","varbinary","YES",""
"auth","account","totp_secret","varbinary(128)","varbinary","YES",""
"auth","account","email","varchar(255)","varchar","NO",""
"auth","account","reg_mail","varchar(255)","varchar","NO",""
"auth","account","joindate","timestamp","timestamp","NO",""
"auth","account","last_ip","varchar(15)","varchar","NO",""
"auth","account","last_attempt_ip","varchar(15)","varchar","NO",""
"auth","account","failed_logins","int unsigned","int","NO",""
"auth","account","locked","tinyint unsigned","tinyint","NO",""
"auth","account","lock_country","varchar(2)","varchar","NO",""
"auth","account","last_login","timestamp","timestamp","YES",""
"auth","account","online","tinyint unsigned","tinyint","NO",""
"auth","account","expansion","tinyint unsigned","tinyint","NO",""
"auth","account","mutetime","bigint","bigint","NO",""
"auth","account","mutereason","varchar(255)","varchar","NO",""
"auth","account","muteby","varchar(50)","varchar","NO",""
"auth","account","locale","tinyint unsigned","tinyint","NO",""
"auth","account","os","varchar(4)","varchar","NO",""
"auth","account","timezone_offset","smallint","smallint","NO",""
"auth","account","recruiter","int unsigned","int","NO",""
"auth","account","battlenet_account","int unsigned","int","YES","MUL"
"auth","account","battlenet_index","tinyint unsigned","tinyint","YES",""
"auth","account_access","AccountID","int unsigned","int","NO","PRI"
"auth","account_access","SecurityLevel","tinyint unsigned","tinyint","NO",""
"auth","account_access","RealmID","int","int","NO","PRI"
"auth","account_access","Comment","varchar(255)","varchar","YES",""
"auth","account_banned","id","int unsigned","int","NO","PRI"
"auth","account_banned","bandate","int unsigned","int","NO","PRI"
"auth","account_banned","unbandate","int unsigned","int","NO",""
"auth","account_banned","bannedby","varchar(50)","varchar","NO",""
"auth","account_banned","banreason","varchar(255)","varchar","NO",""
"auth","account_banned","active","tinyint unsigned","tinyint","NO",""
"auth","account_last_played_character","accountId","int unsigned","int","NO","PRI"
"auth","account_last_played_character","region","tinyint unsigned","tinyint","NO","PRI"
"auth","account_last_played_character","battlegroup","tinyint unsigned","tinyint","NO","PRI"
"auth","account_last_played_character","realmId","int unsigned","int","YES",""
"auth","account_last_played_character","characterName","varchar(12)","varchar","YES",""
"auth","account_last_played_character","characterGUID","bigint unsigned","bigint","YES",""
"auth","account_last_played_character","lastPlayedTime","int unsigned","int","YES",""
"auth","account_muted","guid","int unsigned","int","NO","PRI"
"auth","account_muted","mutedate","int unsigned","int","NO","PRI"
"auth","account_muted","mutetime","int unsigned","int","NO",""
"auth","account_muted","mutedby","varchar(50)","varchar","NO",""
"auth","account_muted","mutereason","varchar(255)","varchar","NO",""
"auth","autobroadcast","realmid","int","int","NO","PRI"
"auth","autobroadcast","id","tinyint unsigned","tinyint","NO","PRI"
"auth","autobroadcast","weight","tinyint unsigned","tinyint","YES",""
"auth","autobroadcast","text","longtext","longtext","NO",""
"auth","battle_pet_declinedname","guid","bigint","bigint","NO","PRI"
"auth","battle_pet_declinedname","genitive","varchar(12)","varchar","NO",""
"auth","battle_pet_declinedname","dative","varchar(12)","varchar","NO",""
"auth","battle_pet_declinedname","accusative","varchar(12)","varchar","NO",""
"auth","battle_pet_declinedname","instrumental","varchar(12)","varchar","NO",""
"auth","battle_pet_declinedname","prepositional","varchar(12)","varchar","NO",""
"auth","battle_pet_slots","id","tinyint","tinyint","NO","PRI"
"auth","battle_pet_slots","battlenetAccountId","int","int","NO","PRI"
"auth","battle_pet_slots","battlePetGuid","bigint","bigint","NO",""
"auth","battle_pet_slots","locked","tinyint","tinyint","NO",""
"auth","battle_pets","guid","bigint","bigint","NO","PRI"
"auth","battle_pets","battlenetAccountId","int","int","NO",""
"auth","battle_pets","species","int","int","NO",""
"auth","battle_pets","breed","smallint","smallint","NO",""
"auth","battle_pets","displayId","int","int","NO",""
"auth","battle_pets","level","smallint","smallint","NO",""
"auth","battle_pets","exp","smallint","smallint","NO",""
"auth","battle_pets","health","int","int","NO",""
"auth","battle_pets","quality","tinyint","tinyint","NO",""
"auth","battle_pets","flags","smallint","smallint","NO",""
"auth","battle_pets","name","varchar(12)","varchar","NO",""
"auth","battle_pets","nameTimestamp","bigint","bigint","NO",""
"auth","battle_pets","owner","bigint","bigint","YES",""
"auth","battle_pets","ownerRealmId","int","int","YES",""
"auth","battle_pets","spellId","int unsigned","int","NO",""
"auth","battlenet_account_bans","id","int unsigned","int","NO","PRI"
"auth","battlenet_account_bans","bandate","int unsigned","int","NO","PRI"
"auth","battlenet_account_bans","unbandate","int unsigned","int","NO",""
"auth","battlenet_account_bans","bannedby","varchar(50)","varchar","NO",""
"auth","battlenet_account_bans","banreason","varchar(255)","varchar","NO",""
"auth","battlenet_account_heirlooms","accountId","int unsigned","int","NO","PRI"
"auth","battlenet_account_heirlooms","itemId","int unsigned","int","NO","PRI"
"auth","battlenet_account_heirlooms","flags","int unsigned","int","NO",""
"auth","battlenet_account_mounts","battlenetAccountId","int unsigned","int","NO","PRI"
"auth","battlenet_account_mounts","mountSpellId","int unsigned","int","NO","PRI"
"auth","battlenet_account_mounts","flags","tinyint unsigned","tinyint","NO",""
"auth","battlenet_account_toys","accountId","int unsigned","int","NO","PRI"
"auth","battlenet_account_toys","itemId","int","int","NO","PRI"
"auth","battlenet_account_toys","isFavourite","tinyint(1)","tinyint","YES",""
"auth","battlenet_account_toys","hasFanfare","tinyint(1)","tinyint","YES",""
"auth","battlenet_accounts","id","int unsigned","int","NO","PRI"
"auth","battlenet_accounts","email","varchar(320)","varchar","NO",""
"auth","battlenet_accounts","srp_version","tinyint","tinyint","NO",""
"auth","battlenet_accounts","salt","binary(32)","binary","NO",""
"auth","battlenet_accounts","verifier","blob","blob","NO",""
"auth","battlenet_accounts","joindate","timestamp","timestamp","NO",""
"auth","battlenet_accounts","last_ip","varchar(15)","varchar","NO",""
"auth","battlenet_accounts","failed_logins","int unsigned","int","NO",""
"auth","battlenet_accounts","locked","tinyint unsigned","tinyint","NO",""
"auth","battlenet_accounts","lock_country","varchar(2)","varchar","NO",""
"auth","battlenet_accounts","last_login","timestamp","timestamp","YES",""
"auth","battlenet_accounts","online","tinyint unsigned","tinyint","NO",""
"auth","battlenet_accounts","locale","tinyint unsigned","tinyint","NO",""
"auth","battlenet_accounts","os","varchar(4)","varchar","NO",""
"auth","battlenet_accounts","LastCharacterUndelete","int unsigned","int","NO",""
"auth","battlenet_accounts","LoginTicket","varchar(64)","varchar","YES",""
"auth","battlenet_accounts","LoginTicketExpiry","int unsigned","int","YES",""
"auth","battlenet_accounts","battlePayCredits","int unsigned","int","NO",""
"auth","battlenet_item_appearances","battlenetAccountId","int unsigned","int","NO","PRI"
"auth","battlenet_item_appearances","blobIndex","smallint unsigned","smallint","NO","PRI"
"auth","battlenet_item_appearances","appearanceMask","int unsigned","int","NO",""
"auth","battlepay_purchases","id","int unsigned","int","NO","PRI"
"auth","battlepay_purchases","battlenetAccountId","int unsigned","int","NO",""
"auth","battlepay_purchases","realm","int unsigned","int","NO",""
"auth","battlepay_purchases","productID","int unsigned","int","NO",""
"auth","battlepay_purchases","productName","varchar(255)","varchar","NO",""
"auth","battlepay_purchases","CurrentPrice","int unsigned","int","NO",""
"auth","battlepay_purchases","RemoteAddress","varchar(50)","varchar","NO",""
"auth","battlepay_purchases","delivered","tinyint unsigned","tinyint","NO",""
"auth","build_info","build","int","int","NO","PRI"
"auth","build_info","majorVersion","int","int","YES",""
"auth","build_info","minorVersion","int","int","YES",""
"auth","build_info","bugfixVersion","int","int","YES",""
"auth","build_info","hotfixVersion","char(3)","char","YES",""
"auth","build_info","winAuthSeed","varchar(32)","varchar","YES",""
"auth","build_info","win64AuthSeed","varchar(32)","varchar","YES",""
"auth","build_info","mac64AuthSeed","varchar(32)","varchar","YES",""
"auth","build_info","winChecksumSeed","varchar(40)","varchar","YES",""
"auth","build_info","macChecksumSeed","varchar(40)","varchar","YES",""
"auth","ip_banned","ip","varchar(15)","varchar","NO","PRI"
"auth","ip_banned","bandate","int unsigned","int","NO","PRI"
"auth","ip_banned","unbandate","int unsigned","int","NO",""
"auth","ip_banned","bannedby","varchar(50)","varchar","NO",""
"auth","ip_banned","banreason","varchar(255)","varchar","NO",""
"auth","logs","time","int unsigned","int","NO",""
"auth","logs","realm","int unsigned","int","NO",""
"auth","logs","type","varchar(250)","varchar","NO",""
"auth","logs","level","tinyint unsigned","tinyint","NO",""
"auth","logs","string","mediumtext","mediumtext","YES",""
"auth","logs_ip_actions","id","int unsigned","int","NO","PRI"
"auth","logs_ip_actions","account_id","int unsigned","int","NO",""
"auth","logs_ip_actions","character_guid","bigint unsigned","bigint","NO",""
"auth","logs_ip_actions","realm_id","int unsigned","int","NO",""
"auth","logs_ip_actions","type","tinyint unsigned","tinyint","NO",""
"auth","logs_ip_actions","ip","varchar(15)","varchar","NO",""
"auth","logs_ip_actions","systemnote","text","text","YES",""
"auth","logs_ip_actions","unixtime","int unsigned","int","NO",""
"auth","logs_ip_actions","time","timestamp","timestamp","NO",""
"auth","logs_ip_actions","comment","text","text","YES",""
"auth","rbac_account_permissions","accountId","int unsigned","int","NO","PRI"
"auth","rbac_account_permissions","permissionId","int unsigned","int","NO","PRI"
"auth","rbac_account_permissions","granted","tinyint(1)","tinyint","NO",""
"auth","rbac_account_permissions","realmId","int","int","NO","PRI"
"auth","rbac_default_permissions","secId","int unsigned","int","NO","PRI"
"auth","rbac_default_permissions","permissionId","int unsigned","int","NO","PRI"
"auth","rbac_default_permissions","realmId","int","int","NO","PRI"
"auth","rbac_linked_permissions","id","int unsigned","int","NO","PRI"
"auth","rbac_linked_permissions","linkedId","int unsigned","int","NO","PRI"
"auth","rbac_permissions","id","int unsigned","int","NO","PRI"
"auth","rbac_permissions","name","varchar(100)","varchar","NO",""
"auth","realmcharacters","realmid","int unsigned","int","NO","PRI"
"auth","realmcharacters","acctid","int unsigned","int","NO","PRI"
"auth","realmcharacters","numchars","tinyint unsigned","tinyint","NO",""
"auth","realmlist","id","int unsigned","int","NO","PRI"
"auth","realmlist","name","varchar(32)","varchar","NO","UNI"
"auth","realmlist","address","varchar(255)","varchar","NO",""
"auth","realmlist","localAddress","varchar(255)","varchar","NO",""
"auth","realmlist","localSubnetMask","varchar(255)","varchar","NO",""
"auth","realmlist","port","smallint unsigned","smallint","NO",""
"auth","realmlist","icon","tinyint unsigned","tinyint","NO",""
"auth","realmlist","flag","tinyint unsigned","tinyint","NO",""
"auth","realmlist","timezone","tinyint unsigned","tinyint","NO",""
"auth","realmlist","allowedSecurityLevel","tinyint unsigned","tinyint","NO",""
"auth","realmlist","population","float unsigned","float","NO",""
"auth","realmlist","gamebuild","int unsigned","int","NO",""
"auth","realmlist","Region","tinyint unsigned","tinyint","NO",""
"auth","realmlist","Battlegroup","tinyint unsigned","tinyint","NO",""
"auth","secret_digest","id","int unsigned","int","NO","PRI"
"auth","secret_digest","digest","varchar(100)","varchar","NO",""
"auth","updates","name","varchar(200)","varchar","NO","PRI"
"auth","updates","hash","char(40)","char","YES",""
"auth","updates","state","enum('RELEASED','ARCHIVED')","enum","NO",""
"auth","updates","timestamp","timestamp","timestamp","NO",""
"auth","updates","speed","int unsigned","int","NO",""
"auth","updates_include","path","varchar(200)","varchar","NO","PRI"
"auth","updates_include","state","enum('RELEASED','ARCHIVED')","enum","NO",""
"auth","uptime","realmid","int unsigned","int","NO","PRI"
"auth","uptime","starttime","int unsigned","int","NO","PRI"
"auth","uptime","uptime","int unsigned","int","NO",""
"auth","uptime","maxplayers","smallint unsigned","smallint","NO",""
"auth","uptime","revision","varchar(255)","varchar","NO",""
"auth","vw_log_history","First Logged","datetime","datetime","YES",""
"auth","vw_log_history","Last Logged","datetime","datetime","YES",""
"auth","vw_log_history","Occurrences","bigint","bigint","NO",""
"auth","vw_log_history","Realm","varchar(32)","varchar","YES",""
"auth","vw_log_history","type","varchar(250)","varchar","NO",""
"auth","vw_log_history","level","tinyint unsigned","tinyint","NO",""
"auth","vw_log_history","string","mediumtext","mediumtext","YES",""
"auth","vw_rbac","Permission ID","int unsigned","int","NO",""
"auth","vw_rbac","Permission Group","int unsigned","int","NO",""
"auth","vw_rbac","Security Level","varchar(10)","varchar","NO",""
"auth","vw_rbac","Permission","varchar(100)","varchar","YES",""
"characters","account_data","accountId","int unsigned","int","NO","PRI"
"characters","account_data","type","tinyint unsigned","tinyint","NO","PRI"
"characters","account_data","time","bigint","bigint","NO",""
"characters","account_data","data","blob","blob","NO",""
"characters","account_instance_times","accountId","int unsigned","int","NO","PRI"
"characters","account_instance_times","instanceId","int unsigned","int","NO","PRI"
"characters","account_instance_times","releaseTime","bigint unsigned","bigint","NO",""
"characters","account_tutorial","accountId","int unsigned","int","NO","PRI"
"characters","account_tutorial","tut0","int unsigned","int","NO",""
"characters","account_tutorial","tut1","int unsigned","int","NO",""
"characters","account_tutorial","tut2","int unsigned","int","NO",""
"characters","account_tutorial","tut3","int unsigned","int","NO",""
"characters","account_tutorial","tut4","int unsigned","int","NO",""
"characters","account_tutorial","tut5","int unsigned","int","NO",""
